locus,gene,product,known_res,drug,n_r_carrier,n_s_carrier,n_variants,n_known_variants,burden_OR,burden_p,burden_p_corrected,burden_significant
RVnc0001,AS1890,,False,,0,1,1,0,0.0,0.48648648648648646,0.8059802359602073,False
RVnc0003,ASpks,,False,,5,3,5,0,1.6666666666666667,0.7115031758470607,1.0,False
RVnc0004,B11,,False,,0,5,2,0,0.0,0.023402912849179495,0.13110703034238483,False
RVnc0008,F6,,False,,36,29,3,0,4.344827586206897,0.08175582255321553,0.31144665454746,False
RVnc0010,G2,,False,,0,1,1,0,0.0,0.48648648648648646,0.8059802359602073,False
RVnc0013,mcr11,,False,,36,34,2,0,1.0588235294117647,1.0,1.0,False
RVnc0015,mcr15,,False,,3,16,3,0,0.10714285714285714,0.0004081788102559333,0.0072768429276661205,True
RVnc0021,mcr3,,False,,9,13,2,0,0.5490716180371353,0.311350894709828,0.7154151669554715,False
RVnc0024,mcr7,,False,,0,1,1,0,0.0,0.48648648648648646,0.8059802359602073,False
RVnc0034,MTS0858,,False,,2,0,2,0,inf,0.49352091817845234,0.8059802359602073,False
RVnc0036,MTS1338,,False,,0,1,1,0,0.0,0.48648648648648646,0.8059802359602073,False
RVnc0036a,MTS2823,,False,,33,35,3,0,0.18857142857142858,0.20029108540462554,0.5739140444016942,False
RVnc0047,AS1726,,False,,3,1,2,0,3.0,0.6150877869959483,0.9100583406125666,False
Rv0001,dnaA,,False,,3,5,8,0,0.5314285714285715,0.4737118541210014,0.8059802359602073,False
Rv0002,dnaN,,False,,4,20,7,0,0.09411764705882353,4.616410750418332e-05,0.0015761123118645229,True
Rv0003,recF,,False,,38,36,6,0,,1.0,1.0,False
Rv0004,Rv0004,,False,,0,1,1,0,0.0,0.48648648648648646,0.8059802359602073,False
Rv0005,gyrB,,True,fluoroquinolones,5,21,12,12,0.10822510822510822,6.844246783917516e-05,0.0020641107592497907,True
Rv0006,gyrA,,True,fluoroquinolones,38,36,28,28,,1.0,1.0,False
Rv0007,Rv0007,,False,,9,12,15,0,0.6206896551724138,0.44222189587985283,0.8059802359602073,False
Rv0008c,Rv0008c,,False,,14,12,5,0,1.1666666666666667,0.8106208194187021,1.0,False
Rv0009,ppiA,,False,,1,1,2,0,0.9459459459459459,1.0,1.0,False
Rv0010c,Rv0010c,,False,,3,20,7,0,0.06857142857142857,1.0262620736896906e-05,0.0005990391039811274,True
Rv0012,Rv0012,,False,,38,36,6,0,,1.0,1.0,False
Rv0013,trpG,,False,,29,29,5,0,0.7777777777777778,0.7799839338645175,1.0,False
Rv0014c,pknB,,False,,15,14,11,0,1.0248447204968945,1.0,1.0,False
Rv0015c,pknA,,False,,15,5,5,0,4.043478260869565,0.018309298919249605,0.11862118089414825,False
Rv0016c,pbpA,,False,,0,2,2,0,0.0,0.23324694557571268,0.5863643319836338,False
Rv0017c,rodA,,False,,3,9,5,0,0.2571428571428571,0.06110160373142372,0.2459696372681006,False
Rv0018c,pstP,,False,,38,36,7,0,,1.0,1.0,False
Rv0019c,fhaB,,False,,0,5,4,0,0.0,0.023402912849179495,0.13110703034238483,False
Rv0020c,fhaA,,False,,30,31,12,0,0.6048387096774194,0.5449207919416083,0.8776450138124968,False
