uid,assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level,submitter
55825148,GCF_963993195.1,ASM_P008-N1380,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/195/GCF_963993195.1_ASM_P008-N1380,SAMEA115401566,,,Swiss Tropical and Public Health Institute
80385798,GCF_977011375.1,K52TAT090,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/375/GCF_977011375.1_K52TAT090,SAMEA120393853,,,the seqafrica consortium
66106078,GCF_045345655.1,AMtb_1__202402,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/345/655/GCF_045345655.1_AMtb_1_202402,SAMN40453083,,,The University of Melbourne
81898838,GCA_978422705.1,CHPF12,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMEA120922160,,,IHU - Mediterranee Infection
17919621,GCA_030571915.1,ASM3057191v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419376,,,Ministry of Health
75499728,GCF_051294295.1,ASM5129429v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/295/GCF_051294295.1_ASM5129429v1,SAMN48739307,,,Texas A&M University
59655838,GCF_040208985.1,ASM4020898v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/208/985/GCF_040208985.1_ASM4020898v1,SAMN41453946,,,Research Institute for Tropical Medicine
70215538,GCF_965122045.1,WBB1453,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/122/045/GCF_965122045.1_WBB1453,SAMEA104606022,,,LSHTM
66109328,GCF_045348255.1,ASM4534825v1,Mycobacterium tuberculosis subsp. tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/348/255/GCF_045348255.1_ASM4534825v1,SAMN41141468,,,Nottingham Trent University
19445261,GCF_033124885.1,ASM3312488v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/124/885/GCF_033124885.1_ASM3312488v1,SAMN28021337,,,Medical Life Sciences Institute
18209621,GCF_030866945.1,ASM3086694v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/866/945/GCF_030866945.1_ASM3086694v1,SAMN36998973,,,National Institute for Communicable Disease Control and Prevention
17920431,GCA_030573175.1,ASM3057317v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419369,,,Ministry of Health
80383578,GCF_977011525.1,K56TAT130,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/525/GCF_977011525.1_K56TAT130,SAMEA120393856,,,the seqafrica consortium
80383418,GCF_977011275.1,K48KI078,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/275/GCF_977011275.1_K48KI078,SAMEA120393848,,,the seqafrica consortium
55825208,GCF_963993285.1,ASM_P042-N1430,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/285/GCF_963993285.1_ASM_P042-N1430,SAMEA115401572,,,Swiss Tropical and Public Health Institute
75499788,GCF_051294325.1,ASM5129432v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/325/GCF_051294325.1_ASM5129432v1,SAMN48739304,,,Texas A&M University
75500328,GCF_051294595.1,ASM5129459v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/595/GCF_051294595.1_ASM5129459v1,SAMN48739291,,,Texas A&M University
80383498,GCF_977011575.1,K25CTRC1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/575/GCF_977011575.1_K25CTRC1,SAMEA120393830,,,the seqafrica consortium
