assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level
GCF_900654255.2,MTB79112.3,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/654/255/GCF_900654255.2_MTB79112.3,SAMEA5208902,,
GCF_900654245.2,MTB36.2,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/654/245/GCF_900654245.2_MTB36.2,SAMEA5208904,,
GCF_040821995.1,INP40868,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/821/995/GCF_040821995.1_INP40868,SAMN37563205,,
GCF_040820805.1,INP40579,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/805/GCF_040820805.1_INP40579,SAMN37563204,,
GCF_040820795.1,INP40543,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/795/GCF_040820795.1_INP40543,SAMN37563203,,
GCF_040820775.1,INP37032,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/775/GCF_040820775.1_INP37032,SAMN37563201,,
GCF_040820205.1,INP29366,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/205/GCF_040820205.1_INP29366,SAMN37563200,,
GCF_040820195.1,INP25474,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/195/GCF_040820195.1_INP25474,SAMN37563199,,
GCF_040820185.1,INP17688,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/185/GCF_040820185.1_INP17688,SAMN37563198,,
GCF_040820175.1,INP15966,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/820/175/GCF_040820175.1_INP15966,SAMN37563197,,
GCF_040735165.1,IP40868,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/165/GCF_040735165.1_IP40868,SAMN37563205,,
GCF_040735135.1,IP40579,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/135/GCF_040735135.1_IP40579,SAMN37563204,,
GCF_040735125.1,IP40543,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/125/GCF_040735125.1_IP40543,SAMN37563203,,
GCF_040735105.1,IP37032,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/105/GCF_040735105.1_IP37032,SAMN37563201,,
GCF_040735095.1,IP29366,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/095/GCF_040735095.1_IP29366,SAMN37563200,,
GCF_040735085.1,IP25474,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/085/GCF_040735085.1_IP25474,SAMN37563199,,
GCF_040734995.1,IP17688,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/734/995/GCF_040734995.1_IP17688,SAMN37563198,,
GCF_040734645.1,IP15966,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/734/645/GCF_040734645.1_IP15966,SAMN37563197,,
GCF_040125985.1,ASM4012598v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/125/985/GCF_040125985.1_ASM4012598v1,SAMN39672213,,
GCF_039907285.1,IN40543,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/907/285/GCF_039907285.1_IN40543,SAMN37563194,,
GCF_039906665.1,IN37032,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/665/GCF_039906665.1_IN37032,SAMN37563192,,
GCF_039906635.1,IN29366,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/635/GCF_039906635.1_IN29366,SAMN37563191,,
GCF_039906595.1,IN17688,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/595/GCF_039906595.1_IN17688,SAMN37563189,,
GCF_039906395.1,I40868,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/395/GCF_039906395.1_I40868,SAMN14417277,,
GCF_039906325.1,I40579,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/325/GCF_039906325.1_I40579,SAMN13735705,,
GCF_039906255.1,I40543,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/255/GCF_039906255.1_I40543,SAMN13735704,,
GCF_039906165.1,I37446,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/165/GCF_039906165.1_I37446,SAMN13735698,,
GCF_039906135.1,I37032,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/135/GCF_039906135.1_I37032,SAMN13735693,,
GCF_039906105.1,I29366,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/105/GCF_039906105.1_I29366,SAMN13735027,,
GCF_039906095.1,I25474,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/095/GCF_039906095.1_I25474,SAMN13735031,,
GCF_039906085.1,I17688,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/085/GCF_039906085.1_I17688,SAMN13735017,,
GCF_039906075.1,I15966_ragout.fasta,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/906/075/GCF_039906075.1_I15966_ragout.fasta,SAMN13735008,,
