locus,gene,known_res,drug,r_carrier,s_carrier,n_rare_variants,n_total_variants,OR,p,product,p_corrected,significant
Rv0001,dnaA,False,,3,5,8,8,0.5314285714285715,0.4737118541210014,,0.8335072200774719,False
Rv0002,dnaN,False,,2,3,6,7,0.6111111111111112,0.6700752459965272,,0.9516178317360338,False
Rv0003,recF,False,,1,2,4,6,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0004,Rv0004,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0005,gyrB,True,fluoroquinolones,2,16,11,12,0.06944444444444445,9.003895806405644e-05,,0.020078805531998898,True
Rv0006,gyrA,True,fluoroquinolones,13,9,22,28,1.56,0.45106759613224623,,0.8335072200774719,False
Rv0007,Rv0007,False,,9,12,13,15,0.6206896551724138,0.44222189587985283,,0.8335072200774719,False
Rv0008c,Rv0008c,False,,2,8,4,5,0.19444444444444445,0.04377157393176042,,0.33514088463950475,False
Rv0009,ppiA,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0010c,Rv0010c,False,,1,6,4,7,0.13513513513513514,0.05278124973785536,,0.33592375281992326,False
Rv0012,Rv0012,False,,2,0,2,6,inf,0.49352091817845234,,0.8335072200774719,False
Rv0013,trpG,False,,4,4,4,5,0.9411764705882353,1.0,,1.0,False
Rv0014c,pknB,False,,3,10,10,11,0.22285714285714286,0.0332281708170136,,0.28384063987063424,False
Rv0015c,pknA,False,,6,1,3,5,6.5625,0.10800778464713234,,0.45614703969108017,False
Rv0016c,pbpA,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0017c,rodA,False,,3,9,5,5,0.2571428571428571,0.06110160373142372,,0.36221602880919246,False
Rv0018c,pstP,False,,0,2,3,7,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0019c,fhaB,False,,0,5,4,4,0.0,0.023402912849179495,,0.23308133225942204,False
Rv0020c,fhaA,False,,2,9,10,12,0.16666666666666666,0.022647941045836978,,0.23308133225942204,False
Rv0021c,Rv0021c,False,,4,7,5,6,0.48739495798319327,0.3392471638466414,,0.8051873237689442,False
Rv0022c,whiB5,False,,2,3,4,5,0.6111111111111112,0.6700752459965272,,0.9516178317360338,False
Rv0023,Rv0023,False,,6,3,9,11,2.0625,0.48070571652470906,,0.8335072200774719,False
Rv0024,Rv0024,False,,3,3,6,6,0.9428571428571428,1.0,,1.0,False
Rv0025,Rv0025,False,,1,2,2,2,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0026,Rv0026,False,,5,11,10,11,0.3443526170798898,0.09235171650592805,,0.45614703969108017,False
Rv0027,Rv0027,False,,1,2,3,3,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0029,Rv0029,False,,6,7,7,7,0.7767857142857143,0.765120408744056,,1.0,False
Rv0030,Rv0030,False,,5,4,4,6,1.2121212121212122,1.0,,1.0,False
Rv0032,bioF2,False,,9,15,18,22,0.43448275862068964,0.13677759217185526,,0.5497466714843843,False
Rv0033,acpA,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
